internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
90389138,Suncus etruscus,"Suncus madagascariensis (Coquerel, 1848)",Suncus,madagascariensis,"(Coquerel, 1848)",,
90389138,Suncus etruscus,"Sorex etruscus	 Savi, 1822",Sorex,etruscus	,"Savi, 1822",,
8668,Fossa fossana,"Viverra fossa Schreber, 1777",Viverra,fossa,"Schreber, 1777",,
8833,Galidictis fasciata,"Viverra fasciata Gmelin, 1788",Viverra,fasciata,"Gmelin, 1788",,
13923,Mungotictis decemlineata,"Mungotictis lineata Pocock, 1915",Mungotictis,lineata,"Pocock, 1915",,
13923,Mungotictis decemlineata,"Mungotictis substriatus Pocock, 1915",Mungotictis,substriatus,"Pocock, 1915",,
13923,Mungotictis decemlineata,"Mungotictis vittatus Gray, 1848",Mungotictis,vittatus,"Gray, 1848",,
19852,Salanoia concolor,"Salanoia  olivacea (I. Geoffroy Saint-Hilaire, 1839)",Salanoia ,olivacea,"(I. Geoffroy Saint-Hilaire, 1839)",,
19852,Salanoia concolor,"Salanoia unicolor (I. Geoffroy Saint-Hilaire, 1837)",Salanoia,unicolor,"(I. Geoffroy Saint-Hilaire, 1837)",,
19852,Salanoia concolor,"Salanoia  durrelli Durbin, Funk, Hawkins, Hills, Jenkins, Moncrieff & Ralainasolo, 2010",Salanoia ,durrelli,"Durbin, Funk, Hawkins, Hills, Jenkins, Moncrieff & Ralainasolo, 2010",,
19852,Salanoia concolor,"Galidia concolor I. Geoffroy Saint-Hilaire, 1837",Galidia,concolor,"I. Geoffroy Saint-Hilaire, 1837",,
39547,Eupleres major,"Eupleres goudotii ssp. major Lavauden, 1929",Eupleres,goudotii,,subspecies,"Lavauden, 1929"
68336601,Eupleres goudotii,"Eupleres goudotii ssp. goudotti Doyère, 1835",Eupleres,goudotii,,subspecies,"Doyère, 1835"
2062,Arctocephalus tropicalis,"Arctocephalus elegans Peters, 1876",Arctocephalus,elegans,"Peters, 1876",,
2062,Arctocephalus tropicalis,Arctophoca tropicalis Peters 1876,Arctophoca,tropicalis,Peters 1876,,
2062,Arctocephalus tropicalis,Arctocephalus tropicalis Peters 1876 ssp. tropicalis,Arctocephalus,tropicalis,Peters 1876,subspecies,
2062,Arctocephalus tropicalis,"Gypsophoca tropicalis J.E. Gray, 1872",Gypsophoca,tropicalis,"J.E. Gray, 1872",,
40783,Hippopotamus madagascariensis,"Hippopotamus guldbergi Fovet, Faure & Guérin, 2011",Hippopotamus,guldbergi,"Fovet, Faure & Guérin, 2011",,
40782,Hippopotamus lemerlei,"Hippopotamus madagascariensis Guldberg, 1883 [illegitimate replacement name]",Hippopotamus,madagascariensis,"Guldberg, 1883 [illegitimate replacement name]",,
40593,Hemicentetes semispinosus,"Ericulus semispinosus G. Cuvier, 1798",Ericulus,semispinosus,"G. Cuvier, 1798",,
11979,Microgale mergulus,"Limnogale mergulus Forsyth Major, 1896",Limnogale,mergulus,"Forsyth Major, 1896",,
40587,Nesogale dobsoni,"Microgale dobsoni Thomas, 1884",Microgale,dobsoni,"Thomas, 1884",,
13349,Microgale parvula,"Microgale pulla Jenkins, 1988",Microgale,pulla,"Jenkins, 1988",,
41315,Nesogale talazaci,"Microgale talazaci Forsyth Major, 1896",Microgale,talazaci,"Forsyth Major, 1896",,
40589,Oryzorictes hova,"Oryzorictes talpoides G. Grandidier & Petit, 1930",Oryzorictes,talpoides,"G. Grandidier & Petit, 1930",,
40591,Oryzorictes tetradactylus,"Oryzorictes teradactylus Milne-Edwards & A. Grandidier, 1882 [orth. error]",Oryzorictes,teradactylus,"Milne-Edwards & A. Grandidier, 1882 [orth. error]",,
40594,Setifer setosus,"Erinaceus setosus Schreber, 1778",Erinaceus,setosus,"Schreber, 1778",,
40595,Tenrec ecaudatus,"Erinaceus ecaudatus Schreber, 1778",Erinaceus,ecaudatus,"Schreber, 1778",,
868,Allocebus trichotis,"Cheirogaleus trichotis Günther, 1875",Cheirogaleus,trichotis,"Günther, 1875",,
6302,Daubentonia madagascariensis,"Sciurus madagascariensis Gmelin, 1788",Sciurus,madagascariensis,"Gmelin, 1788",,
8202,Eulemur mongoz,"Lemur mongoz Linnaeus, 1758",Lemur,mongoz,"Linnaeus, 1758",,
8205,Eulemur cinereiceps,"Eulemur albocollaris (Rumpler, 1975)",Eulemur,albocollaris,"(Rumpler, 1975)",,
8205,Eulemur cinereiceps,"Eulemur fulvus ssp. albocollaris (A. Grandidier & Milne-Edwards, 1890)",Eulemur,fulvus,,subspecies,"(A. Grandidier & Milne-Edwards, 1890)"
8206,Eulemur collaris,"Eulemur fulvus ssp. collaris (É. Geoffroy, 1817)",Eulemur,fulvus,,subspecies,"(É. Geoffroy, 1817)"
8207,Eulemur fulvus,"Eulemur fulvus ssp. mayottensis (Schlegel, 1866)",Eulemur,fulvus,,subspecies,"(Schlegel, 1866)"
8207,Eulemur fulvus,"Eulemur fulvus ssp. fulvus (É. Geoffroy, 1796)",Eulemur,fulvus,,subspecies,"(É. Geoffroy, 1796)"
8209,Eulemur rufus,"Eulemur fulvus ssp. rufus (Audebert, 1800)",Eulemur,fulvus,,subspecies,"(Audebert, 1800)"
8211,Eulemur flavifrons,"Eulemur macaco ssp. flavifrons (Gray, 1867)",Eulemur,macaco,,subspecies,"(Gray, 1867)"
9673,Hapalemur griseus,"Hapalemur ranomafanensis Rabarivola, Prosper, Zaramody, Andriaholinirina & Hauwy, 2007",Hapalemur,ranomafanensis,"Rabarivola, Prosper, Zaramody, Andriaholinirina & Hauwy, 2007",,
9674,Prolemur simus,"Hapalemur simus Gray, 1871",Hapalemur,simus,"Gray, 1871",,
16872,Phaner furcifer,"Phaner furcifer ssp. furcifer (de Blainville, 1839)",Phaner,furcifer,,subspecies,"(de Blainville, 1839)"
16873,Phaner parienti,"Phaner furcifer ssp. parienti Groves & Tattersall, 1991",Phaner,furcifer,,subspecies,"Groves & Tattersall, 1991"
16874,Phaner pallescens,"Phaner furcifer ssp. pallescens Groves & Tattersall, 1991",Phaner,furcifer,,subspecies,"Groves & Tattersall, 1991"
16875,Phaner electromontis,"Phaner furcifer (Groves & Tattersall, 1991) ssp. electromontis",Phaner,furcifer,"(Groves & Tattersall, 1991)",subspecies,
18354,Propithecus verreauxi,"Propithecus verreauxi ssp. verreauxi A. Grandidier, 1867",Propithecus,verreauxi,,subspecies,"A. Grandidier, 1867"
18355,Propithecus coquereli,"Propithecus verreauxi ssp. coquereli (A. Grandidier, 1867)",Propithecus,verreauxi,,subspecies,"(A. Grandidier, 1867)"
18356,Propithecus coronatus,"Propithecus verreauxi ssp. coronatus Milne-Edwards, 1871",Propithecus,verreauxi,,subspecies,"Milne-Edwards, 1871"
18357,Propithecus deckenii,"Propithecus verreauxi ssp. deckenii A. Grandidier, 1867",Propithecus,verreauxi,,subspecies,"A. Grandidier, 1867"
18358,Propithecus diadema,"Propithecus diadema ssp. diadema Bennett, 1832",Propithecus,diadema,,subspecies,"Bennett, 1832"
18359,Propithecus edwardsi,"Propithecus holomelas Günther, 1875",Propithecus,holomelas,"Günther, 1875",,
18359,Propithecus edwardsi,"Propithecus diadema ssp. edwardsi A. Grandidier, 1871",Propithecus,diadema,,subspecies,"A. Grandidier, 1871"
18360,Propithecus candidus,"Propithecus diadema ssp. candidus A. Grandidier, 1871",Propithecus,diadema,,subspecies,"A. Grandidier, 1871"
18361,Propithecus perrieri,"Propithecus diadema ssp. perrieri Lavauden, 1931",Propithecus,diadema,,subspecies,"Lavauden, 1931"
22918,Varecia variegata,"Lemur macaco ssp. variegatus Kerr, 1792",Lemur,macaco,,subspecies,"Kerr, 1792"
22920,Varecia rubra,"Varecia variegata ssp. rubra (É. Geoffroy, 1812)",Varecia,variegata,,subspecies,"(É. Geoffroy, 1812)"
136206,Microcebus mamiratra,"Microcebus lokobensis Olivier et al., 2007",Microcebus,lokobensis,"Olivier et al., 2007",,
163021377,Cheirogaleus crossleyi,"Cheirogaleus melanotis Forsyth Major, 1894",Cheirogaleus,melanotis,"Forsyth Major, 1894",,
136254,Lepilemur randrianasoloi,"Lepilemur randrianasoli Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [name invalid]",Lepilemur,randrianasoli,"Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [name invalid]",,
136311,Lepilemur wrightae,"Lepilemur wrighti Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",Lepilemur,wrighti,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",,
136376,Lepilemur aeeclis,"Lepilemur aeeclis Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [name invalid]",Lepilemur,aeeclis,"Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [name invalid]",,
136491,Lepilemur jamesorum,"Lepilemur jamesi Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006 [orth. error]",Lepilemur,jamesi,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006 [orth. error]",,
136645,Lepilemur sahamalaza,"Lepilemur sahamalazensis Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [invalid name]",Lepilemur,sahamalazensis,"Andriaholinirina, Fausser, Roos, Rabarivola, Ravoarimanana, Zinner, Thalmann, Ganzhorn, Meier, Hilgartner, Walter, Zaramody, Langer, Hahn, Zimmermann, Radespiel, Craul, Tomiuk, Tattersall & Rumpler, 2006 [invalid name]",,
136709,Lepilemur tymerlachsoni,"Lepilemur tymerlachsonorum Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",Lepilemur,tymerlachsonorum,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",,
136761,Lepilemur hubbardorum,"Lepilemur hubbardi Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006 [orth. error]",Lepilemur,hubbardi,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006 [orth. error]",,
136771,Lepilemur grewcockorum,"Lepilemur manasamody Craul, Zimmermann, Rasoloharijaona, Randrianambinina & Radespiel, 2007",Lepilemur,manasamody,"Craul, Zimmermann, Rasoloharijaona, Randrianambinina & Radespiel, 2007",,
136771,Lepilemur grewcockorum,"Lepilemur grewcocki Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney, & Brenneman, 2006 [orth. error]",Lepilemur,grewcocki,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney, & Brenneman, 2006 [orth. error]",,
163023599,Cheirogaleus medius,"Cheirogaleus adipicaudatus A. Grandidier, 1868",Cheirogaleus,adipicaudatus,"A. Grandidier, 1868",,
54778911,Cheirogaleus major,"Cheirogaleus ravus Groves, 2000",Cheirogaleus,ravus,"Groves, 2000",,
136347,Microcebus danfossi,"Microcebus danfossorum Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Guschanski & Radespiel, 2007 [illegitimate emendation]]",Microcebus,danfossorum,"Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Guschanski & Radespiel, 2007 [illegitimate emendation]]",,
163022885,Cheirogaleus thomasi,"Opolemur thomasi Forsyth Major, 1894",Opolemur,thomasi,"Forsyth Major, 1894",,
8204,Eulemur albifrons,"Eulemur fulvus ssp. albifrons (É. Geoffroy Saint-Hilaire, 1796)",Eulemur,fulvus,,subspecies,"(É. Geoffroy Saint-Hilaire, 1796)"
8204,Eulemur albifrons,"Lemur albifrons É. Geoffroy Saint-Hilaire, 1796",Lemur,albifrons,"É. Geoffroy Saint-Hilaire, 1796",,
8212,Eulemur macaco,"Eulemur macaco ssp. macaco (Linnaeus, 1766)",Eulemur,macaco,,subspecies,"(Linnaeus, 1766)"
8210,Eulemur sanfordi,"Eulemur fulvus ssp. sanfordi (Archbold, 1932)",Eulemur,fulvus,,subspecies,"(Archbold, 1932)"
9676,Hapalemur alaotrensis,"Hapalemur griseus ssp. alaotrensis (Rumpler, 1975)",Hapalemur,griseus,,subspecies,"(Rumpler, 1975)"
8199,Eulemur coronatus,"Lemur coronatus Gray, 1842",Lemur,coronatus,"Gray, 1842",,
163314248,Microcebus murinus,"Lemus murinus J.F. Miller, 1777",Lemus,murinus,"J.F. Miller, 1777",,
8203,Eulemur rubriventer,"Lemur rubriventer I. Geoffroy, 1850",Lemur,rubriventer,"I. Geoffroy, 1850",,
136843,Lepilemur ahmansoni,"Lepilemur ahmansorum Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",Lepilemur,ahmansorum,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",,
136843,Lepilemur ahmansoni,"Lepilemur ahmansonorum Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",Lepilemur,ahmansonorum,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",,
136843,Lepilemur ahmansoni,"Lepilemur ahmansonori Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",Lepilemur,ahmansonori,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney & Brenneman, 2006 [orth. error]",,
210364856,Microcebus lehilahytsara,"Microcebus mittermeieri Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor &amp; Brenneman, 2006",Microcebus,mittermeieri,"Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor &amp; Brenneman, 2006",,
210368667,Lepilemur dorsalis,"Lepilemur grandidieri (Forsyth Major, 1894)",Lepilemur,grandidieri,"(Forsyth Major, 1894)",,
210368667,Lepilemur dorsalis,"Lepilemur mittermeieri Rabarivola, Zaramody, Fausser, Andriaholinirina, Roos, Zinner, Marcel &amp; Rumpler, 2006",Lepilemur,mittermeieri,"Rabarivola, Zaramody, Fausser, Andriaholinirina, Roos, Zinner, Marcel &amp; Rumpler, 2006",,
41710,Viverricula indica,"Viverricula malaccensis non Gmelin,  1788",Viverricula,malaccensis,"non Gmelin,  1788",,
41710,Viverricula indica,"Civetta indica É. Geoffroy Saint-Hilaire, 1803",Civetta,indica,"É. Geoffroy Saint-Hilaire, 1803",,
